Date,Stock,Price
2024-06-10T00:00:00,TCB,24.45
2024-06-10T00:00:00,TPB,17.85455
2024-06-10T00:00:00,VHM,38.9
2024-06-10T00:00:00,VIB,22.55
2024-06-10T00:00:00,VIC,43.45
2024-06-10T00:00:00,VNM,67.2
2024-06-10T00:00:00,VPB,18.05
2024-06-10T00:00:00,VRE,22.1
2024-06-07T00:00:00,VN30,1308.03
2024-06-07T00:00:00,ACB,24.6
2024-06-07T00:00:00,FPT,122.6312
2024-06-07T00:00:00,HDB,23.7
2024-06-07T00:00:00,HPG,29.3
2024-06-07T00:00:00,MBB,22.45
2024-06-07T00:00:00,MSN,77.6
2024-06-07T00:00:00,MWG,62.1
2024-06-07T00:00:00,POW,13.95
2024-06-07T00:00:00,SHB,11.8
2024-06-07T00:00:00,STB,30.75
2024-06-07T00:00:00,TCB,24.55
2024-06-07T00:00:00,TPB,17.6113
2024-06-07T00:00:00,VHM,39
2024-06-07T00:00:00,VIB,22.4
2024-06-07T00:00:00,VIC,43.5
2024-06-07T00:00:00,VNM,67.8
2024-06-07T00:00:00,VPB,18
2024-06-07T00:00:00,VRE,22.2
2024-06-06T00:00:00,VN30,1302.28
2024-06-06T00:00:00,ACB,24.35
2024-06-06T00:00:00,FPT,120.55856
2024-06-06T00:00:00,HDB,23.7
2024-06-06T00:00:00,HPG,29.3
2024-06-06T00:00:00,MBB,22.35
2024-06-06T00:00:00,MSN,78.1
2024-06-06T00:00:00,MWG,61.9
2024-06-06T00:00:00,POW,13.55
2024-06-06T00:00:00,SHB,11.85
2024-06-06T00:00:00,STB,30.7
2024-06-06T00:00:00,TCB,24
2024-06-06T00:00:00,TPB,17.75725
2024-06-06T00:00:00,VHM,39.05
2024-06-06T00:00:00,VIB,22.4
2024-06-06T00:00:00,VIC,43.7
2024-06-06T00:00:00,VNM,67.2
2024-06-06T00:00:00,VPB,18.1
2024-06-06T00:00:00,VRE,22.5
2024-06-05T00:00:00,VN30,1299.66
2024-06-05T00:00:00,ACB,24.35
2024-06-05T00:00:00,FPT,120.99036
2024-06-05T00:00:00,HDB,23.7
2024-06-05T00:00:00,HPG,29.25
2024-06-05T00:00:00,MBB,22.2
2024-06-05T00:00:00,MSN,78.1
2024-06-05T00:00:00,MWG,62
2024-06-05T00:00:00,POW,13.75
2024-06-05T00:00:00,SHB,11.55
2024-06-05T00:00:00,STB,29.6
2024-06-05T00:00:00,TCB,23.75
2024-06-05T00:00:00,TPB,17.514
2024-06-05T00:00:00,VHM,39.3
2024-06-05T00:00:00,VIB,22.4
2024-06-05T00:00:00,VIC,44.2
2024-06-05T00:00:00,VNM,68.5
2024-06-05T00:00:00,VPB,18.1
2024-06-05T00:00:00,VRE,22.5
2024-06-04T00:00:00,VN30,1300.99
2024-06-04T00:00:00,ACB,24.5
2024-06-04T00:00:00,FPT,120.12676
2024-06-04T00:00:00,HDB,23.95
2024-06-04T00:00:00,HPG,29.3
2024-06-04T00:00:00,MBB,22.5
2024-06-04T00:00:00,MSN,77.5
2024-06-04T00:00:00,MWG,63.8
2024-06-04T00:00:00,POW,14
2024-06-04T00:00:00,SHB,11.55
2024-06-04T00:00:00,STB,29.95
2024-06-04T00:00:00,TCB,23.8
2024-06-04T00:00:00,TPB,17.56265
2024-06-04T00:00:00,VHM,39.4
2024-06-04T00:00:00,VIB,22.4
2024-06-04T00:00:00,VIC,44.1
2024-06-04T00:00:00,VNM,66
2024-06-04T00:00:00,VPB,18.2
2024-06-04T00:00:00,VRE,22.1
2024-06-03T00:00:00,VN30,1297.78
2024-06-03T00:00:00,ACB,24.8
2024-06-03T00:00:00,FPT,118.22684
2024-06-03T00:00:00,HDB,24
2024-06-03T00:00:00,HPG,29
