CW,TCPH,GDCC,Trần,Sàn,TC,Giá 3,KL 3,Giá 2,KL 2,Giá 1,KL 1,Giá,KL,+/-,+/- (%),Giá 1,KL 1,Giá 2,KL 2,Giá 3,KL 3,Tổng KL,Cao,Thấp,CK,Giá,Điểm hoà vốn,ĐHV-Giá TT,Giá TH,Tỉ lệ chuyển đổi
CSTB2332,KIS,3/10/2024,480,10,70,40,50000,50,100,60,509600,70,100,0,0,70,88800,80,13600,100,2600,43700,70,60,STB,29950,36.24,6.29,35888,5:01
CSTB2333,KIS,2/1/2025,1750,10,730,640,500,670,10000,720,486800,730,100,0,0,730,43200,740,5000,780,2500,7600,890,680,STB,29950,37.57,7.62,36111,2:01
CSTB2337,VND,19/11/2024,940,360,650,620,7800,630,3300,640,2400,650,100,0,0,650,600,660,8200,670,8100,260300,690,610,STB,29950,31.55,1.6,27000,7:01
CSTB2402,ACBS,19/05/2025,2120,760,1440,1390,10200,1400,6100,1420,5700,1450,100,10,0.69,1450,100,1460,5900,1520,100,231600,1460,1390,STB,29950,34.35,4.4,30000,3:01
CSTB2403,HSC,4/12/2024,1260,240,750,250,1000,300,1000,680,30000,750,5000,0,0,760,30000,990,1000,,,205400,750,690,STB,29950,33,3.05,30000,4:01
CSTB2404,HSC,4/3/2025,1410,390,900,640,20000,840,30000,870,199500,880,200000,-20,-2.22,900,10000,940,30000,,,480800,880,870,STB,29950,34.52,4.57,31000,4:01
CSTB2405,SSI,12/11/2024,1760,10,740,710,455600,720,181400,730,321000,750,400,10,1.35,750,453600,760,454200,770,454800,15600,750,700,STB,29950,34,4.05,32500,2:01
CSTB2406,SSI,10/10/2024,1650,10,630,590,453600,600,174500,610,307100,630,7800,0,0,630,446600,640,455700,650,454300,145300,630,580,STB,29950,32.76,2.81,31500,2:01
CSTB2407,SSI,12/12/2024,980,10,470,440,454400,450,248600,460,454200,470,400,0,0,470,461400,480,461800,490,456100,21000,470,450,STB,29950,34.88,4.93,33000,4:01
CTCB2309,BSC,23/09/2024,4690,2570,3630,3600,1600,3610,2000,3650,2000,3700,200,70,1.93,3700,600,3710,500,3720,2000,27600,3700,3610,TCB,22400,22.35,-0.05,16972,1.4548:1
CTCB2310,SSI,7/10/2024,1840,1060,1450,1430,422500,1440,5200,1450,5000,1460,4600,10,0.69,1460,2500,1470,3500,1480,6200,132000,1470,1400,TCB,22400,22.64,0.24,16972,3.8793:1
CTCB2402,SSI,12/12/2024,1170,10,400,380,454600,390,456700,400,453500,400,4000,0,0,420,308500,430,492300,440,457600,1819100,440,380,TCB,22400,28.3,5.9,27500,2:01
CTPB2306,KIS,3/10/2024,1060,10,420,330,5000,360,8700,390,188800,380,79100,-40,-9.52,400,111100,,,,,129500,410,350,TPB,17900,20.09,2.19,19352,1.9461:1
CTPB2402,HSC,4/12/2024,1560,280,920,820,1100,830,70100,840,5400,840,1500,-80,-8.7,870,2000,880,100000,930,30000,918600,910,830,TPB,17900,19.64,1.74,18001,1.9461:1
CVHM2313,SSI,7/10/2024,330,10,60,30,2861400,40,2752400,50,264400,60,400,0,0,60,1641000,70,2508700,80,631300,1260500,60,40,VHM,39750,50.6,10.85,50000,10:01
CVHM2317,KIS,3/10/2024,410,10,70,10,1013300,20,222200,30,170000,70,200,0,0,70,165000,80,55800,90,10000,200,70,70,VHM,39750,52.91,13.15,52345,8:01
CVHM2318,KIS,2/1/2025,1140,40,590,60,96400,70,1000,210,222200,,,,,580,15000,590,400,,,,,,VHM,39750,56.41,16.66,53456,5:01
CVHM2402,HSC,4/3/2025,1900,540,1220,1100,10000,1110,2000,1120,38000,1200,38400,-20,-1.64,1220,1400,1240,35000,1250,1000,280100,1220,1100,VHM,39750,46.3,6.55,41500,4:01
CVHM2403,HSC,4/12/2024,1640,280,960,830,141400,860,30100,880,200,960,200,0,0,960,29900,980,100,990,300,167200,960,830,VHM,39750,44.34,4.59,40500,4:01
CVHM2404,SSI,12/11/2024,1560,200,880,800,344800,810,45700,820,2400,870,300,-10,-1.14,860,2600,870,330900,880,156000,398200,870,790,VHM,39750,43.48,3.73,40000,4:01
CVHM2405,SSI,12/12/2024,1220,10,540,490,326300,500,686900,510,68000,550,500,10,1.85,530,31100,540,500,550,337200,321600,550,490,VHM,39750,47.2,7.45,45000,4:01
CVIB2305,SSI,7/1/2025,740,240,490,440,453700,450,501300,460,325300,460,209300,-30,-6.12,480,70800,490,622400,500,512100,536900,490,460,VIB,18400,19.98,1.58,17752,4.8413:1
CVIB2402,ACBS,19/05/2025,1430,10,700,680,10600,700,119700,710,220000,760,400,60,8.57,760,1400,770,300,780,5100,1397000,760,700,VIB,18400,21.81,3.41,20515,1.7096:1
CVIB2403,SSI,10/10/2024,970,10,240,180,455500,190,540200,200,473500,220,1300,-20,-8.33,220,26200,230,46000,240,455500,801100,230,200,VIB,18400,20.89,2.49,20515,1.7096:1
CVIB2404,SSI,12/11/2024,1000,10,270,230,455100,240,453800,250,454700,270,200,0,0,270,20200,280,455500,290,453800,150900,280,240,VIB,18400,21.83,3.43,21370,1.7096:1
CVIC2309,SSI,7/10/2024,380,10,90,60,60000,70,22700,80,10000,90,100,0,0,90,57500,100,365400,110,85000,34700,90,80,VIC,41550,52.9,11.35,52000,10:01
CVIC2313,KIS,3/10/2024,400,10,110,,,10,1500100,30,200,,,,,110,42600,150,6000,160,12700,,,,VIC,41550,54.56,13.01,53456,10:01
CVIC2314,KIS,2/1/2025,1010,10,430,390,3000,400,5500,410,11100,410,5000,-20,-4.65,440,10500,450,25400,460,10000,7500,450,410,VIC,41550,56.62,15.07,54567,5:01
CVIC2401,HSC,4/12/2024,1540,100,820,120,5000,680,200,720,31300,800,600,-20,-2.44,800,29900,810,400,820,200,188700,800,730,VIC,41550,48.7,7.15,45500,4:01
CVIC2402,SSI,12/12/2024,1150,10,430,400,232500,410,15500,420,300,430,100,0,0,430,233000,440,149100,450,15200,61500,450,420,VIC,41550,51.72,10.17,50000,4:01
CVIC2403,SSI,10/10/2024,1150,10,430,380,233500,390,18100,400,600,400,1000,-30,-6.98,410,232000,420,32900,430,26500,122000,440,400,VIC,41550,46.6,5.05,45000,4:01
CVNM2311,SSI,7/1/2025,1100,60,580,580,304600,590,95600,600,405400,610,200,30,5.17,610,7800,620,402500,630,407500,796600,640,590,VNM,74900,84.38,9.48,78398,9.7998:1
